recency_days,frequency,monetary,avg_review_score,avg_installments,avg_freight,avg_items_per_order,state_freq_encoding,credit_card_usage_ratio,avg_delivery_days
548,1,1626.83,5.0,5.0,35.63,1.0,0.0098755411255411,1.0,15.0
385,1,303.86,5.0,7.0,43.96,1.0,0.419320263070263,1.0,6.0
253,1,71.04,1.0,1.0,15.14,1.0,0.0508033633033633,1.0,37.0
181,1,207.08,5.0,12.0,17.09,1.0,0.1171224608724608,1.0,24.0
411,1,32.09,5.0,1.0,14.1,1.0,0.128798285048285,1.0,10.0
294,1,70.72,5.0,1.0,11.73,1.0,0.419320263070263,1.0,7.0
390,1,45.0,2.0,2.0,15.1,1.0,0.1171224608724608,1.0,17.0
311,1,57.0,5.0,1.0,15.2,1.0,0.0508033633033633,1.0,8.0
270,1,57.62,5.0,1.0,17.63,1.0,0.0166916416916416,1.0,9.0
426,1,207.49,5.0,1.0,18.04,1.0,0.419320263070263,0.0,10.0
564,1,239.95,5.0,4.0,27.95,1.0,0.034090909090909,1.0,24.0
178,1,205.99,4.0,1.0,16.09,1.0,0.419320263070263,1.0,12.0
470,1,59.72,4.0,4.0,11.73,1.0,0.419320263070263,1.0,7.0
316,1,39.09,5.0,1.0,15.1,1.0,0.0367236929736929,1.0,9.0
401,1,71.81,5.0,1.0,14.15,1.0,0.0215721778221778,1.0,8.0
79,1,865.38,5.0,8.0,56.38,1.0,0.0054008491508491,1.0,21.0
282,1,221.7,1.0,1.0,27.9,1.0,0.0215721778221778,1.0,7.0
446,1,52.78,1.0,2.0,7.78,1.0,0.419320263070263,1.0,3.0
181,1,55.0,5.0,5.0,15.1,1.0,0.1171224608724608,1.0,11.0
538,1,86.98,1.0,1.0,19.07,1.0,0.128798285048285,1.0,38.0
278,1,153.99,5.0,2.0,14.0,1.0,0.419320263070263,1.0,9.0
428,1,137.99,5.0,6.0,18.09,1.0,0.0508033633033633,1.0,2.0
532,1,239.75,5.0,1.0,49.85,1.0,0.419320263070263,1.0,11.0
391,1,104.37,5.0,6.0,15.37,1.0,0.1171224608724608,1.0,6.0
368,1,80.81,4.0,1.0,20.91,1.0,0.419320263070263,0.0,9.0
51,1,41.49,4.0,1.0,7.5,1.0,0.419320263070263,1.0,2.0
351,2,142.46,3.0,6.5,14.24,1.0,0.1171224608724608,1.0,8.5
169,1,130.7,5.0,1.0,17.7,1.0,0.419320263070263,0.0,15.0
121,1,138.74,5.0,2.0,19.74,1.0,0.0204274891774891,1.0,9.0
391,1,67.22,1.0,6.0,15.11,1.0,0.020302614052614,1.0,12.0
84,1,213.73,5.0,6.0,13.83,1.0,0.419320263070263,1.0,5.0
325,1,77.57,4.0,1.0,17.67,1.0,0.0549138361638361,1.0,15.0
153,1,119.94,4.0,2.0,39.95,1.0,0.128798285048285,1.0,19.0
273,1,72.05,5.0,7.0,16.15,1.0,0.1171224608724608,1.0,8.0
384,2,3559.99,5.0,10.0,50.495000000000005,1.0,0.419320263070263,1.0,16.0
317,1,100.82,1.0,5.0,17.83,1.0,0.020302614052614,1.0,11.0
217,1,417.94,4.0,6.0,29.04,1.0,0.0508033633033633,1.0,15.0
104,1,168.12,5.0,3.0,48.14,2.0,0.020302614052614,1.0,22.0
168,1,49.18,5.0,4.0,19.32,1.0,0.0549138361638361,1.0,12.0
293,1,62.01,4.0,5.0,16.11,1.0,0.0508033633033633,1.0,19.0
292,1,35.68,4.0,1.0,12.69,1.0,0.419320263070263,0.0,15.0
141,1,99.26,5.0,8.0,9.36,1.0,0.1171224608724608,1.0,1.0
437,1,34.09,1.0,1.0,15.1,1.0,0.020302614052614,0.0,17.0
237,1,86.83,5.0,1.0,16.93,1.0,0.1171224608724608,0.5,12.0
261,1,106.78,1.0,2.0,16.88,1.0,0.128798285048285,1.0,24.0
199,1,42.68,4.0,1.0,7.78,1.0,0.419320263070263,1.0,8.0
462,1,61.2,5.0,1.0,30.2,2.0,0.419320263070263,1.0,8.0
57,1,97.86,5.0,1.0,8.37,1.0,0.419320263070263,1.0,1.0
139,1,222.81,5.0,5.0,53.78,2.0,0.419320263070263,1.0,6.0
272,1,137.6,4.0,1.0,14.61,1.0,0.0215721778221778,0.0,7.0
182,1,60.11,3.0,1.0,15.11,1.0,0.0215721778221778,0.0,18.0
258,1,27.77,5.0,2.0,7.78,1.0,0.419320263070263,1.0,7.0
461,1,83.0,5.0,1.0,30.2,2.0,0.1171224608724608,0.1666666666666666,11.0
400,1,81.61,5.0,4.0,12.61,1.0,0.1171224608724608,1.0,2.0
277,1,236.56,1.0,1.0,56.4,4.0,0.0215721778221778,1.0,60.0
346,1,60.0,5.0,1.0,15.1,1.0,0.419320263070263,1.0,7.0
108,1,99.6,3.0,8.0,11.6,1.0,0.1171224608724608,1.0,22.0
221,1,185.64,5.0,1.0,10.64,1.0,0.419320263070263,1.0,9.0
274,1,75.15,5.0,1.0,15.17,1.0,0.0508033633033633,1.0,12.0
89,1,62.92,4.0,1.0,26.94,2.0,0.419320263070263,0.0,9.0
119,1,344.26,3.0,1.0,44.26,2.0,0.128798285048285,0.0,13.0
154,1,192.68,5.0,2.0,13.69,1.0,0.419320263070263,1.0,11.0
58,1,34.13,5.0,1.0,15.23,1.0,0.1171224608724608,0.0,7.0
164,1,108.59,5.0,2.0,19.59,1.0,0.0367236929736929,1.0,11.0
163,1,476.65,5.0,9.0,77.65,1.0,0.419320263070263,1.0,14.0
281,1,190.48,4.0,2.0,23.49,1.0,0.128798285048285,1.0,16.0
439,1,163.06,5.0,10.0,14.06,1.0,0.419320263070263,1.0,7.0
401,1,112.94,3.0,3.0,22.95,1.0,0.0054008491508491,1.0,86.0
263,1,669.98,5.0,9.0,20.98,1.0,0.1171224608724608,1.0,9.0
110,1,242.44,1.0,2.0,19.44,1.0,0.128798285048285,1.0,32.0
193,1,43.98,4.0,1.0,14.08,1.0,0.1171224608724608,0.0,9.0
201,1,417.16,5.0,8.0,67.26,1.0,0.128798285048285,1.0,21.0
269,1,151.84,5.0,3.0,41.84,1.0,0.0508033633033633,1.0,14.0
406,1,95.22,4.0,2.0,15.32,1.0,0.1171224608724608,1.0,21.0
528,1,214.46,5.0,3.0,15.56,1.0,0.419320263070263,1.0,7.0
233,1,690.68,5.0,4.0,91.68,1.0,0.0098755411255411,1.0,15.0
263,1,91.89,5.0,2.0,12.89,1.0,0.419320263070263,1.0,4.0
694,1,173.4,1.0,1.0,23.41,1.0,0.1171224608724608,0.0,26.0
474,1,93.08,2.0,2.0,18.09,1.0,0.1171224608724608,1.0,9.0
406,1,230.74,5.0,10.0,17.74,1.0,0.0549138361638361,1.0,15.0
260,1,97.17,4.0,1.0,17.27,1.0,0.419320263070263,0.0,8.0
400,1,70.0,5.0,1.0,30.2,2.0,0.419320263070263,1.0,7.0
562,1,382.88,5.0,3.0,32.88,2.0,0.128798285048285,1.0,19.0
131,1,308.28,5.0,4.0,9.28,1.0,0.419320263070263,1.0,4.0
62,1,249.41,5.0,5.0,23.51,1.0,0.020302614052614,1.0,12.0
434,1,131.81,1.0,2.0,21.82,1.0,0.1171224608724608,1.0,22.0
329,1,137.08,5.0,2.0,17.09,1.0,0.0508033633033633,1.0,6.0
546,1,44.42,5.0,1.0,14.52,1.0,0.128798285048285,0.0,12.0
520,1,76.68,5.0,1.0,26.78,1.0,0.0367236929736929,1.0,24.0
232,1,54.0,5.0,1.0,15.1,1.0,0.419320263070263,1.0,13.0
479,1,43.77,5.0,2.0,7.78,1.0,0.419320263070263,0.3333333333333333,4.0
208,1,61.88,5.0,5.0,15.98,1.0,0.419320263070263,1.0,11.0
502,1,72.9,3.0,4.0,13.0,1.0,0.1171224608724608,1.0,10.0
396,1,161.37,3.0,8.0,21.47,1.0,0.419320263070263,1.0,8.0
177,1,20.0,4.0,1.0,8.4,1.0,0.419320263070263,1.0,7.0
548,1,32.96,5.0,1.0,10.96,1.0,0.419320263070263,0.0,9.0
91,1,61.14,4.0,2.0,11.15,1.0,0.419320263070263,1.0,4.0
115,1,35.77,5.0,1.0,7.87,1.0,0.419320263070263,1.0,2.0
143,1,103.46,5.0,2.0,18.47,1.0,0.128798285048285,1.0,11.0
119,1,76.29,5.0,1.0,16.39,1.0,0.419320263070263,1.0,4.0
244,1,90.19,5.0,2.0,25.29,1.0,0.419320263070263,1.0,10.0
74,1,58.37,5.0,1.0,18.38,1.0,0.1171224608724608,0.0,5.0
155,1,100.36,4.0,1.0,30.36,2.0,0.0072115384615384,0.0,20.0
230,1,162.65,5.0,8.0,12.75,1.0,0.419320263070263,1.0,6.0
83,1,174.81,4.0,1.0,24.91,1.0,0.419320263070263,1.0,6.0
481,1,214.09,5.0,4.0,25.09,1.0,0.0204274891774891,1.0,16.0
373,1,242.89,3.0,8.0,29.89,1.0,0.0098755411255411,1.0,10.0
422,1,85.14,5.0,1.0,16.24,1.0,0.419320263070263,1.0,16.0
275,1,264.24,1.0,5.0,64.44,2.0,0.128798285048285,1.0,39.0
309,1,173.86,5.0,2.0,14.86,1.0,0.020302614052614,1.0,13.0
231,1,270.54,5.0,10.0,15.54,1.0,0.128798285048285,1.0,11.0
43,1,238.56,1.0,1.0,100.56,2.0,0.128798285048285,0.0,8.0
170,1,184.04,4.0,1.0,24.05,1.0,0.1171224608724608,1.0,23.0
80,1,76.28,5.0,1.0,16.39,1.0,0.1171224608724608,1.0,9.0
27,1,43.2,5.0,2.0,15.3,1.0,0.128798285048285,1.0,6.0
136,1,99.53,5.0,1.0,19.53,1.0,0.128798285048285,1.0,11.0
186,1,190.88,1.0,2.0,21.98,1.0,0.0049325674325674,1.0,40.0
456,2,113.56,1.0,1.0,7.78,1.0,0.419320263070263,0.5,51.0
357,1,90.88,5.0,2.0,20.98,1.0,0.128798285048285,1.0,11.0
157,1,229.78,1.0,1.0,33.98,2.0,0.0549138361638361,1.0,9.0
252,1,186.05,5.0,1.0,19.06,1.0,0.419320263070263,0.0,13.0
324,1,105.37,3.0,1.0,15.38,1.0,0.0508033633033633,1.0,22.0
69,1,74.5,5.0,1.0,15.51,1.0,0.1171224608724608,0.0,7.0
133,1,155.98,4.0,3.0,26.98,1.0,0.419320263070263,1.0,15.0
278,1,145.66,4.0,5.0,15.67,1.0,0.419320263070263,1.0,4.0
69,1,162.86,5.0,1.0,19.11,1.0,0.0367236929736929,0.0,12.0
257,1,36.72,5.0,1.0,11.73,1.0,0.419320263070263,1.0,5.0
449,1,59.1,3.0,5.0,15.1,1.0,0.0508033633033633,1.0,9.0
537,1,55.64,5.0,5.0,11.74,1.0,0.419320263070263,1.0,9.0
279,1,40.09,3.0,1.0,15.1,1.0,0.0367236929736929,0.0,33.0
113,1,105.06,5.0,5.0,14.0,1.0,0.419320263070263,1.0,13.0
246,1,63.33,5.0,1.0,13.43,1.0,0.419320263070263,1.0,7.0
348,1,105.24,5.0,3.0,19.84,1.0,0.0508033633033633,1.0,17.0
285,1,67.0,5.0,6.0,31.1,1.0,0.0508033633033633,1.0,13.0
112,1,129.65,5.0,1.0,9.75,1.0,0.128798285048285,1.0,4.0
359,1,82.5,4.0,8.0,13.5,1.0,0.419320263070263,1.0,8.0
41,1,568.85,3.0,8.0,18.95,1.0,0.419320263070263,1.0,14.0
572,1,218.04,5.0,3.0,18.14,1.0,0.419320263070263,1.0,25.0
534,1,44.1,5.0,1.0,14.11,1.0,0.1171224608724608,1.0,6.0
143,1,152.52,5.0,2.0,22.62,1.0,0.1171224608724608,1.0,14.0
139,1,27.79,4.0,1.0,12.79,1.0,0.419320263070263,0.0,6.0
513,1,197.7,5.0,4.0,22.7,1.0,0.0367236929736929,1.0,6.0
29,1,100.48,3.0,2.0,22.48,1.0,0.034090909090909,1.0,7.0
232,2,432.69,2.5,2.5,17.395,1.0,0.0204274891774891,1.0,30.5
94,1,122.02,5.0,6.0,14.12,1.0,0.419320263070263,1.0,9.0
40,1,74.63,5.0,1.0,14.73,1.0,0.419320263070263,1.0,5.0
486,1,99.35,5.0,5.0,14.36,1.0,0.419320263070263,1.0,11.0
273,1,75.65,5.0,7.0,16.66,1.0,0.128798285048285,1.0,12.0
137,1,162.91,5.0,3.0,15.91,1.0,0.419320263070263,1.0,18.0
132,1,116.06,5.0,1.0,13.16,1.0,0.419320263070263,1.0,6.0
352,1,61.73,5.0,2.0,11.73,1.0,0.419320263070263,1.0,2.0
412,1,250.84,5.0,1.0,31.04,2.0,0.0549138361638361,0.0,17.0
22,1,257.67,4.0,1.0,53.0,3.0,0.419320263070263,0.0,6.0
363,1,35.0,5.0,2.0,15.1,1.0,0.0508033633033633,1.0,18.0
73,1,189.19,3.0,4.0,19.29,1.0,0.1171224608724608,1.0,8.0
218,1,38.59,4.0,1.0,12.69,1.0,0.419320263070263,0.0,10.0
252,1,44.08,5.0,1.0,9.09,1.0,0.419320263070263,1.0,2.0
188,1,38.71,3.0,3.0,8.72,1.0,0.419320263070263,1.0,4.0
108,1,35.68,5.0,1.0,18.23,1.0,0.0549138361638361,0.0,8.0
458,1,87.52,4.0,8.0,28.81,1.0,0.1171224608724608,1.0,9.0
393,1,185.44,5.0,9.0,15.94,1.0,0.128798285048285,1.0,7.0
275,1,35.77,5.0,1.0,7.78,1.0,0.419320263070263,1.0,3.0
62,1,188.31,4.0,3.0,43.81,1.0,0.128798285048285,1.0,5.0
147,1,49.95,1.0,2.0,15.23,1.0,0.128798285048285,1.0,20.0
37,1,238.63,4.0,10.0,19.63,1.0,0.128798285048285,1.0,6.0
16,1,188.68,5.0,1.0,8.68,1.0,0.128798285048285,0.0,3.0
45,1,78.7,5.0,1.0,16.7,1.0,0.419320263070263,1.0,4.0
322,1,44.09,4.0,1.0,15.1,1.0,0.1171224608724608,1.0,12.0
287,1,38.84,2.0,1.0,11.85,1.0,0.419320263070263,1.0,7.0
64,1,93.56,5.0,1.0,13.66,1.0,0.419320263070263,0.0,6.0
163,1,81.91,5.0,8.0,12.92,1.0,0.419320263070263,1.0,14.0
370,1,45.05,1.0,3.0,15.1,1.0,0.1171224608724608,1.0,15.0
377,1,91.26,5.0,1.0,12.26,1.0,0.0215721778221778,1.0,4.0
143,1,110.32,5.0,1.0,11.32,1.0,0.419320263070263,1.0,3.0
221,1,209.95,5.0,1.0,20.05,1.0,0.419320263070263,1.0,3.0
29,1,228.29,5.0,1.0,8.8,1.0,0.419320263070263,0.0,2.0
212,1,26.35,5.0,1.0,11.85,1.0,0.419320263070263,0.0,8.0
429,1,76.66,5.0,7.0,17.66,1.0,0.0367236929736929,1.0,6.0
267,1,129.14,4.0,1.0,17.22,1.0,0.128798285048285,0.0,17.0
281,1,33.7,4.0,1.0,15.1,1.0,0.0072115384615384,0.0,12.0
315,2,436.88,5.0,10.0,22.94,1.0,0.0072115384615384,1.0,17.5
236,1,781.07,5.0,2.0,21.08,1.0,0.0204274891774891,1.0,10.0
31,1,206.66,5.0,1.0,16.43,1.0,0.419320263070263,1.0,4.0
50,1,184.49,3.0,3.0,15.49,1.0,0.419320263070263,1.0,5.0
317,1,99.7,3.0,5.0,19.8,1.0,0.419320263070263,1.0,9.0
314,1,53.0,5.0,1.0,15.1,1.0,0.419320263070263,0.0,8.0
12,1,138.5,5.0,8.0,23.6,1.0,0.128798285048285,1.0,11.0
530,1,217.45,3.0,8.0,17.55,1.0,0.419320263070263,1.0,12.0
28,1,95.3,5.0,1.0,23.3,1.0,0.1171224608724608,1.0,6.0
470,1,97.89,5.0,9.0,16.33,1.0,0.1171224608724608,1.0,13.0
452,1,76.08,5.0,1.0,16.18,1.0,0.0549138361638361,1.0,10.0
63,1,103.87,1.0,2.0,13.97,1.0,0.419320263070263,1.0,7.0
226,1,82.98,4.0,1.0,13.08,1.0,0.419320263070263,0.0,2.0
329,1,66.6,2.0,3.0,16.6,1.0,0.1171224608724608,1.0,8.0
539,1,264.2,2.0,1.0,124.2,5.0,0.0024870962370962,0.0,41.0
328,1,116.94,4.0,3.0,17.94,1.0,0.1171224608724608,1.0,12.0
567,1,18.71,1.0,1.0,8.72,1.0,0.419320263070263,0.0,5.0
185,1,268.5,3.0,2.0,34.52,2.0,0.034090909090909,1.0,19.0
245,1,163.79,2.0,1.0,14.79,1.0,0.128798285048285,0.0,30.0
170,1,43.22,5.0,4.0,15.23,1.0,0.128798285048285,1.0,14.0
451,1,152.16,5.0,10.0,32.36,2.0,0.0367236929736929,1.0,21.0
245,1,46.1,4.0,4.0,16.11,1.0,0.128798285048285,1.0,7.0
536,1,60.42,2.0,3.0,14.52,1.0,0.1171224608724608,1.0,16.0
452,1,35.0,5.0,1.0,14.1,1.0,0.128798285048285,1.0,10.0
556,1,94.15,5.0,1.0,11.16,1.0,0.419320263070263,1.0,3.0
317,1,548.68,3.0,5.0,148.7,2.0,0.0204274891774891,1.0,20.0
71,1,198.51,5.0,7.0,23.51,1.0,0.128798285048285,1.0,7.0
224,1,85.14,4.0,2.0,15.24,1.0,0.419320263070263,1.0,20.0
22,1,87.32,5.0,1.0,7.82,1.0,0.419320263070263,1.0,9.0
454,1,96.0,5.0,1.0,30.2,2.0,0.0508033633033633,1.0,5.0
143,1,67.36,5.0,1.0,13.46,1.0,0.419320263070263,1.0,7.0
68,1,126.76,5.0,2.0,18.86,1.0,0.0508033633033633,1.0,10.0
384,1,509.61,5.0,1.0,14.61,1.0,0.419320263070263,0.0,8.0
188,1,145.56,5.0,1.0,15.66,1.0,0.419320263070263,0.0,12.0
379,1,77.57,5.0,3.0,17.67,1.0,0.128798285048285,1.0,15.0
374,1,175.56,5.0,1.0,20.57,1.0,0.0072115384615384,0.0,19.0
94,1,149.64999999999998,4.0,1.0,14.66,1.0,0.1171224608724608,0.5,15.0
316,1,264.67,5.0,2.0,14.77,1.0,0.419320263070263,1.0,2.0
1,1,216.58,4.0,8.0,37.58,1.0,0.419320263070263,1.0,2.0
187,1,125.85,5.0,2.0,35.95,1.0,0.0136426073926073,1.0,18.0
164,1,92.87,4.0,1.0,23.07,1.0,0.1171224608724608,1.0,10.0
308,1,29.09,5.0,2.0,15.1,1.0,0.128798285048285,0.5,6.0
479,1,167.43,5.0,1.0,27.53,1.0,0.419320263070263,0.0,14.0
14,1,265.36,5.0,1.0,35.37,1.0,0.419320263070263,1.0,6.0
128,1,406.51,5.0,4.0,26.52,1.0,0.419320263070263,1.0,11.0
56,1,202.98,5.0,1.0,13.98,1.0,0.419320263070263,0.0,6.0
128,1,146.84,5.0,6.0,7.84,1.0,0.419320263070263,1.0,4.0
70,1,113.29,5.0,1.0,23.39,1.0,0.0204274891774891,0.0,15.0
402,1,92.59,5.0,1.0,12.69,1.0,0.419320263070263,0.0,16.0
381,1,111.42,3.0,1.0,21.43,1.0,0.0050158175158175,0.0,15.0
139,1,26.22,5.0,1.0,15.23,1.0,0.128798285048285,1.0,11.0
200,1,46.1,5.0,1.0,16.11,1.0,0.0508033633033633,1.0,12.0
463,1,252.07,5.0,3.0,13.17,1.0,0.419320263070263,1.0,2.0
103,1,69.24,4.0,4.0,9.44,1.0,0.128798285048285,1.0,10.0
218,1,643.16,5.0,4.0,45.16,2.0,0.128798285048285,1.0,6.0
420,1,233.81,5.0,10.0,28.81,1.0,0.034090909090909,1.0,12.0
273,1,211.12,5.0,10.0,22.12,1.0,0.419320263070263,1.0,12.0
454,1,115.44,5.0,1.0,15.45,1.0,0.128798285048285,0.0,9.0
428,1,96.7,5.0,4.0,11.8,1.0,0.419320263070263,1.0,1.0
38,1,63.55,5.0,1.0,8.55,1.0,0.419320263070263,0.0,3.0
466,1,30.69,4.0,1.0,16.79,1.0,0.128798285048285,0.0,8.0
81,1,506.97,5.0,8.0,80.48,3.0,0.128798285048285,1.0,10.0
287,1,106.16,5.0,3.0,16.26,1.0,0.419320263070263,1.0,7.0
128,1,52.38,4.0,1.0,7.39,1.0,0.419320263070263,1.0,9.0
216,1,218.73,5.0,1.0,33.74,1.0,0.1171224608724608,0.0,10.0
218,1,54.09,5.0,5.0,15.1,1.0,0.1171224608724608,1.0,9.0
221,1,335.48,5.0,3.0,46.48,1.0,0.0508033633033633,1.0,15.0
139,1,104.47,5.0,1.0,15.47,1.0,0.419320263070263,0.0,10.0
169,1,85.45,1.0,2.0,16.45,1.0,0.0549138361638361,1.0,43.0
231,1,65.54,5.0,3.0,15.56,2.0,0.419320263070263,1.0,7.0
117,1,356.89,4.156186520855942,3.0,16.99,1.0,0.0508033633033633,1.0,5.0
133,1,192.04,5.0,3.0,18.79,1.0,0.1171224608724608,1.0,8.0
193,1,73.03,5.0,3.0,14.13,1.0,0.419320263070263,1.0,4.0
211,1,152.1,3.0,1.0,15.7,1.0,0.1171224608724608,1.0,36.0
279,1,99.7,5.0,7.0,19.8,1.0,0.034090909090909,1.0,13.0
426,1,60.75,3.0,3.0,11.85,1.0,0.419320263070263,1.0,13.0
278,1,103.33,5.0,8.0,23.43,1.0,0.128798285048285,1.0,17.0
68,1,26.9,5.0,1.0,7.4,1.0,0.419320263070263,0.3333333333333333,4.0
239,1,35.4,5.0,1.0,15.1,1.0,0.1171224608724608,0.0,16.0
276,1,86.25,3.0,4.0,9.35,1.0,0.419320263070263,1.0,2.0
159,1,46.15,5.0,1.0,11.15,1.0,0.419320263070263,1.0,4.0
148,2,266.82,5.0,1.5,13.41,1.5,0.419320263070263,1.0,2.0
117,1,173.59,4.0,8.0,23.59,1.0,0.128798285048285,1.0,11.0
355,1,278.16,5.0,1.0,18.26,1.0,0.419320263070263,0.0,13.0
242,1,50.0,5.0,1.0,15.1,1.0,0.419320263070263,0.0,13.0
100,1,163.24,5.0,1.0,13.34,1.0,0.419320263070263,0.0,16.0
385,1,171.44,5.0,1.0,21.54,1.0,0.419320263070263,0.0,18.0
575,1,278.07,2.0,8.0,38.08,1.0,0.1171224608724608,1.0,12.0
338,1,107.78,5.0,5.0,17.88,1.0,0.128798285048285,1.0,14.0
393,1,212.8,5.0,10.0,12.9,1.0,0.419320263070263,1.0,7.0
246,1,31.94,5.0,1.0,7.94,1.0,0.128798285048285,0.0,9.0
20,1,58.98,5.0,2.0,12.98,1.0,0.419320263070263,1.0,7.0
90,1,85.41,5.0,4.0,7.41,1.0,0.419320263070263,1.0,2.0
102,1,89.79,4.0,2.0,13.89,1.0,0.419320263070263,1.0,18.0
195,1,77.64,3.0,3.0,17.67,1.0,0.419320263070263,1.0,8.0
282,1,159.3,5.0,3.0,29.31,1.0,0.0098755411255411,1.0,4.0
302,1,353.67,5.0,1.0,18.78,1.0,0.034090909090909,0.0,12.0
253,1,480.62,4.0,1.0,40.63,1.0,0.419320263070263,0.0,21.0
118,1,53.9,5.0,1.0,0.0,1.0,0.0367236929736929,0.0,11.0
253,1,49.64,5.0,4.0,9.74,1.0,0.1171224608724608,1.0,14.0
228,1,48.28,4.0,1.0,7.78,1.0,0.419320263070263,0.0,4.0
366,1,158.79,4.0,8.0,8.79,1.0,0.419320263070263,1.0,3.0
226,2,213.07,5.0,3.0,13.095,1.0,0.0215721778221778,1.0,10.5
274,1,26.69,5.0,1.0,16.79,1.0,0.1171224608724608,1.0,17.0
81,1,77.1,5.0,2.0,22.1,1.0,0.034090909090909,1.0,10.0
286,1,127.48,5.0,3.0,8.09,1.0,0.419320263070263,1.0,6.0
185,1,124.09,5.0,1.0,17.19,1.0,0.034090909090909,0.0,16.0
41,1,323.7,5.0,1.0,95.7,2.0,0.034090909090909,0.0,11.0
322,1,77.57,4.0,1.0,17.67,1.0,0.1171224608724608,1.0,11.0
534,1,57.08,5.0,3.0,17.09,1.0,0.0367236929736929,1.0,21.0
279,1,163.88,2.0,3.0,64.08,4.0,0.419320263070263,1.0,12.0
457,1,164.23999999999998,5.0,10.0,29.34,1.0,0.1171224608724608,0.5,15.0
43,1,273.88,5.0,5.0,19.88,1.0,0.419320263070263,1.0,12.0
304,1,71.84,5.0,4.0,9.94,1.0,0.419320263070263,1.0,12.0
272,2,230.75,5.0,4.0,17.93,1.0,0.1171224608724608,1.0,14.0
21,1,92.18,5.0,3.0,23.28,1.0,0.0367236929736929,1.0,7.0
352,1,40.99,5.0,1.0,16.11,1.0,0.0367236929736929,1.0,10.0
116,1,192.28,4.0,3.0,22.29,1.0,0.034090909090909,1.0,30.0
333,1,177.2,5.0,1.0,36.31,1.0,0.0136426073926073,0.0,17.0
302,1,238.69,3.0,3.0,18.79,1.0,0.128798285048285,1.0,7.0
356,1,77.57,5.0,1.0,17.67,1.0,0.1171224608724608,1.0,13.0
330,1,41.27,5.0,1.0,7.78,1.0,0.419320263070263,1.0,2.0
89,1,38.28,4.0,1.0,12.79,1.0,0.419320263070263,1.0,6.0
